Name,Author,Year,# of Words,"Parts, if available"
وشايات المؤرقين 2,ضحكتك في عيوني ,,52878,
وشايات المؤرقين 3,ضحكتك في عيوني ,,44195,
وصية الحقد,new moon,,81757,
وصية الحقد 2,new moon,,29173,
وصية الحقد 3,new moon,,11836,
وطال انتظاري,,,42694,
وطت رجلي علي دربه و لا أدري وش نوي فيني,ضحية حبيبي,,375218,
وطيت الجمر بأقدامي كفاني كل ما جاني,بنت الأجواد,,133766,
وفاء لقلبه,دموع السحاب,,45216,
وقع في الحب رغما عنه,أميرة الندى ,,19005,
وكان أسمها صبح,مغرومه بلا حد,,11198,
وكل ما قال الفرح جيت يلاقي من أحزان قلبي صدود,براءة طفلة ,,54368,
ولد الترف و الدلال,بنت الاكابر,,179962,
ولد العم,حمران النواظر,,76836,
ولد الفقر وبنت الهوامير,عاشق الخيل ,,9607,
ولكبريائي رواية,راقية بكل الصفات,,34681,
ومرت الأيام,متكحله بدماء جروحها,,85812,
وه فديتك,أتعبني إحساسي ,,18882,
وين يروح قلبك ؟!,مشاعر,,49987,
وينك أنادي لك,eng.noory,,203044,
وينك أنت فيه صراحة أنا من دونك شي مايسوى,فيكتوريــآ ,,23278,
يا أخوي لا تظلمني,,,2155,
يا أغلى ناسي,أقحوان,,16022,
يا أمانينا تعالي شاركيني وشوفي حالي,ضحكها هيبة ,,6649,
يا حبي الخالد أموت بغرامك,ضجيج أنثى ,,59766,
يا حبيبي اللي تشوفه فيني ما هو غرور هذي عزة نفس في قمة تواضعها,مالي مثيل,,43570,
يا حظ عينه تنام اليل مرتاحة,جووولي,,29106,
يا حلمي اللي طول عمري أتبعك,منبع الأنوثة,,41798,
يا خاطفي وين ألقى عزتي في زمان المذلة !,على شاطئ النسيان ,,159012,
يا خاطفي وين ألقى عزتي في زمان المذلة ! 2,على شاطئ النسيان ,,148657,
يا خاطفي وين ألقى عزتي في زمان المذلة ! 3,على شاطئ النسيان ,,79731,
يا خاطفي وين ألقى عزتي في زمان المذلة ! 4,على شاطئ النسيان ,,88449,
يا خالتي أريد أمي,خالد الغامدي ,,16211,
يا دنيا توقعتك تكرهيني وإكتشفت إنك تذليني,ســـــــــارا ,,130256,
يا راكان ترى مالي مكان في هالدنيا بدونك,Johnarr Cool,,46269,
يا ريت عمري ماهويت,Red Bull ,,43193,
يا صلاله خبرينا عن قلوباً تهتوينا,,,52890,
يا ضياعه بالهون ترا نصفي يبيه,شروايً حلمَ ,,115364,
يا قاتلي هل لي بكلمة,غموض أنثى ,,98961,
يا قلب أرجوك لا عاد ترغمني على حب جديد و فيه توهمني,جـــوى,,60309,
يا لبيه يا الدنيا العجيبة,معانده جرووحي,,108106,
يا ليت انها يوم جفتني من جفاها تستفيد,b7ooor ,,67942,
يا ناس حبايبي نسوني,sheko,,1792,
يا يمه حبيته قلبي تعلق فيه زفوني لبيته,مجنونه حبي,,65228,
يابنت وين مثل قلبي تلاقين قلبن عطاك الحب ماقال هاتيه,عاشقة السراب,,31448,
يارب تخليه وتبقيه لعنين ترجيه,,,52307,
يارب تخليه وتبقيه لعنين ترجيه 2,,,57433,
يارب تخليه وتبقيه لعنين ترجيه 3,,,60969,
ياسمين,(n)+(a)= (love),,36271,
ياشقى عمري معك طال الصراع ياخسارة كنت أظنك دنيتي,مطنوخه حدي ,,93613,
ياعيـونه بس يكفيني عذاب,خجل العذارى,,109252,
يالبى قلبك,,,117287,
يبقى الحب,غيوض 2008,,55816,
يحلمون اللي فيك يفكرون ياخدوك مني و الله لو يتجننون ,ردلي إحساسي أمانة ,,23436,
يحلمون اللي فيك يفكرون ياخذونك انت مني والله لو يتجننون,rafooo,,48843,
يخلف الله على عقل ملكت كل تفكيره,amzeng,,96384,
يدري إن أسباب ضعفي نظرته يدري إني ما أقاوم ضحكته,سآكِبَتْ الْـ عُ ــودْ ,,242300,
يدري إن أسباب ضعفي نظرته يدري إني ما أقاوم ضحكته 2,سآكِبَتْ الْـ عُ ــودْ ,,237079,
يدري إن أسباب ضعفي نظرته يدري إني ما أقاوم ضحكته 3,سآكِبَتْ الْـ عُ ــودْ ,,343783,
يدري إن أسباب ضعفي نظرته يدري إني ما أقاوم ضحكته 4,سآكِبَتْ الْـ عُ ــودْ ,,281260,
يزيد بي الصوع بذكرى كنت بها المنهاني,أكبر طاف,,95768,
يسالوني ويش أحلى عطر عندك قلت ريحة عطر حبيبي في ملابسي بعد ما أضمه,مشكلتي عشقتك,,130429,
يعرف نقطة ضعفي حبي له,حب بابي,,32849,
يعشقني من قلبه هو قال,جنون ورده ,,59364,
يمسح الدمعة بشكوى,هدوئي,,161032,
يوم شفتك طاح قلبي بطوله,مجهولة !!,,81053,
يوميات حبي و حبه,تاج الغرور,,152605,
يوميات زهرة و محمد,سكرانه حب ,,83939,
